# GD50  03:48:50.06 -00:58:30.4  (type DA2)
  971.07   13.405   1.62
  972.69   13.850   1.63
  974.32   13.241   1.62
  975.94   12.837   1.63
  977.57   12.508   1.63
  979.20   12.267   1.64
  980.84   12.079   1.64
  982.48   11.942   1.64
  984.12   11.831   1.64
  985.76   11.755   1.64
  987.40   11.689   1.65
  989.05   11.649   1.65
  990.70   11.614   1.66
  992.36   11.592   1.65
  994.01   11.577   1.66
  995.67   11.567   1.66
  997.33   11.564   1.67
  999.00   11.564   1.67
 1000.67   11.572   1.67
 1002.34   11.581   1.67
 1004.01   11.599   1.68
 1005.69   11.621   1.67
 1007.36   11.652   1.69
 1009.05   11.693   1.68
 1010.73   11.741   1.69
 1012.42   11.811   1.69
 1014.11   11.894   1.69
 1015.80   12.007   1.70
 1017.50   12.146   1.69
 1019.19   12.334   1.71
 1020.90   12.573   1.70
 1022.60   12.889   1.71
 1024.31   13.287   1.71
 1026.02   13.642   1.71
 1027.73   13.122   1.71
 1029.44   12.772   1.72
 1031.16   12.507   1.72
 1032.88   12.295   1.73
 1034.61   12.117   1.72
 1036.33   11.965   1.73
 1038.06   11.900   1.74
 1039.80   11.838   1.73
 1041.53   11.780   1.74
 1043.27   11.724   1.74
 1045.01   11.671   1.75
 1046.76   11.621   1.75
 1048.51   11.607   1.75
 1050.26   11.595   1.75
 1052.01   11.582   1.75
 1053.76   11.570   1.76
 1055.52   11.557   1.77
 1057.29   11.545   1.76
 1059.05   11.542   1.77
 1060.82   11.539   1.77
 1062.59   11.537   1.77
 1064.36   11.534   1.78
 1066.14   11.532   1.78
 1067.92   11.529   1.78
 1069.70   11.529   1.79
 1071.49   11.530   1.79
 1073.28   11.530   1.79
 1075.07   11.530   1.79
 1076.86   11.531   1.80
 1078.66   11.531   1.80
 1080.46   11.533   1.80
 1082.26   11.534   1.81
 1084.07   11.535   1.81
 1085.88   11.537   1.81
 1087.69   11.538   1.82
 1089.51   11.540   1.81
 1091.32   11.542   1.83
 1093.15   11.544   1.82
 1094.97   11.546   1.83
 1096.80   11.548   1.83
 1098.63   11.550   1.83
 1100.46   11.552   1.84
 1102.30   11.554   1.84
 1104.14   11.556   1.84
 1105.98   11.558   1.85
 1107.83   11.560   1.85
 1109.68   11.562   1.85
 1111.53   11.565   1.86
 1113.39   11.567   1.85
 1115.24   11.569   1.87
 1117.11   11.572   1.86
 1118.97   11.574   1.87
 1120.84   11.577   1.87
 1122.71   11.579   1.87
 1124.58   11.581   1.88
 1126.46   11.584   1.88
 1128.34   11.586   1.88
 1130.22   11.589   1.89
 1132.11   11.591   1.89
 1134.00   11.594   1.90
 1135.90   11.597   1.89
 1137.79   11.599   1.90
 1139.69   11.602   1.90
 1141.59   11.605   1.91
 1143.50   11.607   1.91
 1145.41   11.610   1.91
 1147.32   11.613   1.91
 1149.23   11.616   1.92
 1151.15   11.619   1.92
 1153.07   11.622   1.93
 1155.00   11.625   0.80
 1155.80   11.614   1.20
 1157.00   11.623   1.00
 1158.00   11.647   1.20
 1159.20   11.696   1.20
 1160.40   11.636   1.20
 1161.60   11.649   1.20
 1162.80   11.588   1.20
 1164.00   11.622   1.20
 1165.20   11.627   1.20
 1166.40   11.592   1.20
 1167.60   11.614   1.20
 1168.80   11.612   1.00
 1169.80   11.640   1.20
 1171.00   11.611   1.20
 1172.20   11.581   1.20
 1173.40   11.596   1.20
 1174.60   11.629   1.20
 1175.80   11.622   1.20
 1177.00   11.646   1.20
 1178.20   11.671   1.20
 1179.40   11.707   1.20
 1180.60   11.708   1.00
 1181.60   11.720   1.20
 1182.80   11.658   1.20
 1184.00   11.687   1.20
 1185.20   11.685   1.20
 1186.40   11.720   1.20
 1187.60   11.754   1.20
 1188.80   11.707   1.20
 1190.00   11.779   1.20
 1191.20   11.795   1.20
 1192.40   11.801   1.00
 1193.40   11.869   1.20
 1194.60   11.892   1.20
 1195.80   11.897   1.20
 1197.00   11.855   1.20
 1198.20   11.973   1.20
 1199.40   12.022   1.20
 1200.60   12.019   1.20
 1201.80   12.095   1.20
 1203.00   12.120   1.20
 1204.20   12.171   1.00
 1205.20   12.161   1.20
 1206.40   12.202   1.20
 1207.60   11.971   1.20
 1208.80   11.836   1.20
 1210.00   11.819   1.20
 1211.20   11.807   1.20
 1212.40   11.834   1.20
 1213.60   11.979   1.20
 1214.80   11.967   1.00
 1215.80   12.025   1.20
 1217.00   12.122   1.20
 1218.20   12.224   1.20
 1219.40   12.370   1.20
 1220.60   12.428   1.20
 1221.80   12.446   1.20
 1223.00   12.381   1.20
 1224.20   12.294   1.20
 1225.40   12.268   1.20
 1226.60   12.192   1.00
 1227.60   12.151   1.20
 1228.80   12.136   1.20
 1230.00   12.103   1.20
 1231.20   12.051   1.20
 1232.40   11.975   1.20
 1233.60   11.950   1.20
 1234.80   11.925   1.20
 1236.00   11.896   1.20
 1237.20   11.834   1.20
 1238.40   11.822   1.00
 1239.40   11.856   1.20
 1240.60   11.843   1.20
 1241.80   11.831   1.20
 1243.00   11.807   1.20
 1244.20   11.778   1.20
 1245.40   11.780   1.20
 1246.60   11.772   1.20
 1247.80   11.771   1.20
 1249.00   11.789   1.20
 1250.20   11.782   1.00
 1251.20   11.778   1.20
 1252.40   11.768   1.20
 1253.60   11.759   1.20
 1254.80   11.747   1.20
 1256.00   11.798   1.20
 1257.20   11.768   1.20
 1258.40   11.731   1.20
 1259.60   11.711   1.20
 1260.80   11.781   1.20
 1262.00   11.774   1.00
 1263.00   11.770   1.20
 1264.20   11.764   1.20
 1265.40   11.728   1.20
 1266.60   11.738   1.20
 1267.80   11.707   1.20
 1269.00   11.743   1.20
 1270.20   11.719   1.20
 1271.40   11.717   1.20
 1272.60   11.725   1.20
 1273.80   11.730   1.00
 1274.80   11.770   1.20
 1276.00   11.756   1.20
 1277.20   11.733   1.20
 1278.40   11.719   1.20
 1279.60   11.701   1.20
 1280.80   11.722   1.20
 1282.00   11.732   1.20
 1283.20   11.715   1.20
 1284.40   11.727   1.20
 1285.60   11.759   1.00
 1286.60   11.743   1.20
 1287.80   11.704   1.20
 1289.00   11.732   1.20
 1290.20   11.723   1.20
 1291.40   11.786   1.20
 1292.60   11.705   1.20
 1293.80   11.675   1.20
 1295.00   11.734   1.20
 1296.20   11.664   1.20
 1297.40   11.691   1.00
 1298.40   11.743   1.20
 1299.60   11.750   1.20
 1300.80   11.769   1.20
 1302.00   11.728   1.20
 1303.20   11.827   1.20
 1304.40   11.821   1.20
 1305.60   11.775   1.20
 1306.80   11.797   1.20
 1308.00   11.817   1.20
 1309.20   11.749   1.00
 1310.20   11.751   1.20
 1311.40   11.788   1.20
 1312.60   11.770   1.20
 1313.80   11.746   1.20
 1315.00   11.779   1.20
 1316.20   11.791   1.20
 1317.40   11.772   1.20
 1318.60   11.794   1.20
 1319.80   11.805   1.00
 1320.80   11.839   1.20
 1322.00   11.829   1.20
 1323.20   11.832   1.20
 1324.40   11.821   1.20
 1325.60   11.834   1.20
 1326.80   11.824   1.20
 1328.00   11.773   1.20
 1329.20   11.762   1.20
 1330.40   11.810   1.20
 1331.60   11.821   1.00
 1332.60   11.859   1.20
 1333.80   11.823   1.20
 1335.00   11.861   1.20
 1336.20   11.832   1.20
 1337.40   11.841   1.20
 1338.60   11.860   1.20
 1339.80   11.829   1.20
 1341.00   11.819   1.20
 1342.20   11.870   1.20
 1343.40   11.872   1.00
 1344.40   11.815   1.20
 1345.60   11.825   1.20
 1346.80   11.857   1.20
 1348.00   11.880   1.20
 1349.20   11.854   1.20
 1350.40   11.867   1.20
 1351.60   11.870   1.20
 1352.80   11.855   1.20
 1354.00   11.862   1.20
 1355.20   11.883   1.00
 1356.20   11.854   1.20
 1357.40   11.885   1.20
 1358.60   11.893   1.20
 1359.80   11.886   1.20
 1361.00   11.868   1.20
 1362.20   11.901   1.20
 1363.40   11.899   1.20
 1364.60   11.850   1.20
 1365.80   11.873   1.20
 1367.00   11.897   1.00
 1368.00   11.897   1.20
 1369.20   11.908   1.20
 1370.40   11.923   1.20
 1371.60   11.923   1.20
 1372.80   11.913   1.20
 1374.00   11.911   1.20
 1375.20   11.898   1.20
 1376.40   11.975   1.20
 1377.60   11.942   1.20
 1378.80   11.896   1.00
 1379.80   11.890   1.20
 1381.00   11.928   1.20
 1382.20   11.916   1.20
 1383.40   11.890   1.20
 1384.60   11.935   1.20
 1385.80   11.923   1.20
 1387.00   11.936   1.20
 1388.20   11.900   1.20
 1389.40   11.952   1.20
 1390.60   11.901   1.00
 1391.60   11.931   1.20
 1392.80   12.036   1.20
 1394.00   12.055   1.20
 1395.20   12.060   1.20
 1396.40   12.011   1.20
 1397.60   11.944   1.20
 1398.80   11.927   1.20
 1400.00   11.954   1.20
 1401.20   11.966   1.20
 1402.40   11.998   1.00
 1403.40   12.054   1.20
 1404.60   12.008   1.20
 1405.80   12.001   1.20
 1407.00   12.033   1.20
 1408.20   11.976   1.20
 1409.40   11.991   1.20
 1410.60   12.005   1.20
 1411.80   12.036   1.20
 1413.00   11.975   1.00
 1414.00   11.959   1.20
 1415.20   11.985   1.20
 1416.40   11.977   1.20
 1417.60   11.996   1.20
 1418.80   12.007   1.20
 1420.00   12.000   1.20
 1421.20   12.004   1.20
 1422.40   12.014   1.20
 1423.60   12.010   1.20
 1424.80   11.978   1.00
 1425.80   12.005   1.20
 1427.00   12.012   1.20
 1428.20   11.976   1.20
 1429.40   12.006   1.20
 1430.60   11.979   1.20
 1431.80   11.954   1.20
 1433.00   12.012   1.20
 1434.20   11.998   1.20
 1435.40   12.007   1.20
 1436.60   12.020   1.00
 1437.60   11.966   1.20
 1438.80   11.984   1.20
 1440.00   12.027   1.20
 1441.20   11.983   1.20
 1442.40   11.992   1.20
 1443.60   11.980   1.20
 1444.80   11.983   1.20
 1446.00   11.986   1.20
 1447.20   11.976   1.20
 1448.40   11.962   1.00
 1449.40   11.983   1.20
 1450.60   12.005   1.20
 1451.80   12.049   1.20
 1453.00   12.006   1.20
 1454.20   12.053   1.20
 1455.40   12.021   1.20
 1456.60   12.006   1.20
 1457.80   12.024   1.20
 1459.00   11.984   1.20
 1460.20   11.957   1.00
 1461.20   12.007   1.20
 1462.40   12.031   1.20
 1463.60   11.971   1.20
 1464.80   11.943   1.20
 1466.00   11.952   1.20
 1467.20   11.963   1.20
