# QSO template of all quasars from Krawczyk et al. (2013)
#  lambda	f_lambda  error
# angstrom	arbitrary arbitrary
      1.25   329.61  774.13
      1.31   314.77  739.29
      1.37   300.61  706.02
      1.43   287.08  674.24
      1.50   274.16  643.90
      1.57   261.82  614.92
      1.65   250.03  587.24
      1.73   238.78  560.81
      1.81   228.03  535.57
      1.89   217.77  511.46
      1.98   207.97  488.45
      2.07   198.61  466.46
      2.17   189.67  445.47
      2.27   181.13  425.42
      2.38   172.98  406.27
      2.49   165.20  387.99
      2.61   157.76  370.52
      2.73   150.66  353.85
      2.86   143.88  337.92
      3.00   137.40  322.71
      3.14   131.22  308.19
      3.29   125.31  294.32
      3.44   119.67  281.07
      3.60   114.29  268.42
      3.77   109.14  256.34
      3.95   104.23  244.80
      4.14   99.54  233.78
      4.33   95.06  223.26
      4.54   90.78  213.21
      4.75   86.70  203.62
      4.98   82.79  194.45
      5.21   79.07  185.70
      5.46   75.51  177.34
      5.71   72.11  169.36
      5.98   68.87  161.74
      6.26   65.77  154.46
      6.56   62.81  147.51
      6.87   59.98  140.87
      7.19   57.28  134.53
      7.53   54.70  128.47
      7.89   52.24  122.69
      8.26   49.89  117.17
      8.65   47.64  111.90
      9.05   45.50  106.86
      9.48   43.45  102.05
      9.93   41.50  97.46
     10.39   39.63  93.07
     10.88   37.84  88.88
     11.40   36.14  84.88
     11.93   34.51  81.06
     12.50   32.96  77.41
     13.09   31.48  73.93
     13.70   30.06  70.60
     14.35   28.71  67.42
     15.03   27.42  64.39
     15.73   26.18  61.49
     16.47   25.00  58.72
     17.25   23.88  56.08
     18.06   22.80  53.56
     18.92   21.78  51.15
     19.81   20.80  48.84
     20.74   19.86  46.65
     21.72   18.97  44.55
     22.74   18.11  42.54
     23.81   17.30  40.63
     24.94   16.52  38.80
     26.11   15.78  37.05
     27.34   15.07  35.38
     28.63   14.39  33.79
     29.98   13.74  32.27
     31.39   13.12  30.82
     32.87   12.53  29.43
     34.42   11.97  28.11
     36.04   11.43  26.84
     37.74   10.91  25.63
     39.52   10.42  24.48
     41.38   9.95  23.38
     43.33   9.51  22.33
     45.38   9.08  21.32
     47.51   8.67  20.36
     49.75   8.28  19.45
     52.10   7.91  18.57
     54.55   7.55  17.73
     57.12   7.21  16.94
     59.82   6.89  16.17
     62.64   6.65  15.62
     65.59   6.75  15.84
     68.68   6.84  15.91
     71.92   6.93  15.97
     75.30   7.03  16.19
     78.85   7.13  16.25
     82.57   7.23  16.31
     86.46   7.33  16.54
     90.54   7.43  16.60
     94.80   7.52  16.61
     99.27   7.62  16.85
    103.95   7.73  16.90
    108.85   7.83  16.96
    113.98   7.94  17.01
    119.35   8.05  17.25
    124.97   8.17  17.30
    130.86   8.28  17.35
    137.03   8.38  17.55
    143.49   8.49  17.60
    150.25   8.61  17.64
    157.33   8.73  17.69
    164.75   8.85  17.93
    172.51   8.97  17.98
    180.64   9.10  18.02
    189.16   9.23  18.06
    198.07   9.33  18.27
    207.41   9.46  18.30
    217.18   9.59  18.34
    227.42   9.73  18.37
    238.13   9.86  18.40
    249.36   10.00  18.65
    261.11   10.14  18.68
    273.41   10.28  18.70
    286.30   10.40  18.68
    299.79   10.54  18.69
    313.92   10.69  18.71
    328.72   10.84  18.72
    344.21   10.99  18.98
    360.43   11.14  18.99
    377.42   11.30  18.99
    395.20   11.46  18.99
    413.83   11.61  18.99
    433.33   11.75  18.94
    453.75   11.91  18.93
    475.14   12.08  18.91
    497.53   12.25  18.89
    520.98   12.42  18.87
    545.53   12.59  18.84
    571.24   12.76  18.81
    598.16   12.94  18.77
    626.36   13.09  18.69
    655.87   13.27  18.64
    686.78   13.46  18.59
    719.15   13.65  18.54
    753.04   13.84  18.48
    788.53   14.03  18.09
    825.70   14.22  18.01
