# QSO template of high luminosity quasars from Krawczyk et al. (2013)
#  lambda	f_lambda  error
# angstrom	arbitrary arbitrary
      1.25   273.53  648.71
      1.31   261.22  619.52
      1.37   249.46  591.63
      1.43   238.23  565.01
      1.50   227.51  539.58
      1.57   217.27  515.29
      1.65   207.49  492.10
      1.73   198.15  469.95
      1.81   189.23  448.80
      1.89   180.72  428.60
      1.98   172.58  409.31
      2.07   164.82  390.89
      2.17   157.40  373.30
      2.27   150.31  356.49
      2.38   143.55  340.45
      2.49   137.09  325.13
      2.61   130.92  310.49
      2.73   125.03  296.52
      2.86   119.40  283.17
      3.00   114.02  270.43
      3.14   108.89  258.26
      3.29   103.99  246.63
      3.44   99.31  235.53
      3.60   94.84  224.93
      3.77   90.57  214.81
      3.95   86.50  205.14
      4.14   82.60  195.91
      4.33   78.89  187.09
      4.54   75.34  178.67
      4.75   71.94  170.63
      4.98   68.71  162.95
      5.21   65.61  155.62
      5.46   62.66  148.61
      5.71   59.84  141.92
      5.98   57.15  135.54
      6.26   54.58  129.44
      6.56   52.12  123.61
      6.87   49.77  118.05
      7.19   47.53  112.73
      7.53   45.39  107.66
      7.89   43.35  102.81
      8.26   41.40  98.19
      8.65   39.54  93.77
      9.05   37.76  89.55
      9.48   36.06  85.52
      9.93   34.43  81.67
     10.39   32.89  77.99
     10.88   31.41  74.48
     11.40   29.99  71.13
     11.93   28.64  67.93
     12.50   27.35  64.87
     13.09   26.12  61.95
     13.70   24.95  59.16
     14.35   23.82  56.50
     15.03   22.75  53.96
     15.73   21.73  51.53
     16.47   20.75  49.21
     17.25   19.82  47.00
     18.06   18.92  44.88
     18.92   18.07  42.86
     19.81   17.26  40.93
     20.74   16.48  39.09
     21.72   15.74  37.33
     22.74   15.03  35.65
     23.81   14.35  34.04
     24.94   13.71  32.51
     26.11   13.09  31.05
     27.34   12.50  29.65
     28.63   11.94  28.32
     29.98   11.40  27.04
     31.39   10.89  25.83
     32.87   10.40  24.66
     34.42   9.93  23.55
     36.04   9.48  22.49
     37.74   9.06  21.48
     39.52   8.65  20.51
     41.38   8.26  19.59
     43.33   7.89  18.71
     45.38   7.53  17.87
     47.51   7.19  17.06
     49.75   6.87  16.29
     52.10   6.56  15.56
     54.55   6.27  14.86
     57.12   5.98  14.19
     59.82   5.71  13.55
     62.64   5.53  13.12
     65.59   5.62  13.21
     68.68   5.71  13.29
     71.92   5.81  13.37
     75.30   5.90  13.45
     78.85   6.00  13.53
     82.57   6.10  13.61
     86.46   6.19  13.69
     90.54   6.30  13.92
     94.80   6.40  13.99
     99.27   6.50  14.07
    103.95   6.59  14.12
    108.85   6.70  14.19
    113.98   6.81  14.26
    119.35   6.92  14.34
    124.97   7.03  14.41
    130.86   7.14  14.48
    137.03   7.26  14.55
    143.49   7.38  14.61
