# QSO template of low luminosity quasars from Krawczyk et al. (2013)
#  lambda	f_lambda  error
# angstrom	arbitrary arbitrary
      1.25   413.05  970.10
      1.31   394.46  926.44
      1.37   376.70  884.74
      1.43   359.75  844.92
      1.50   343.56  806.89
      1.57   328.10  770.58
      1.65   313.33  735.90
      1.73   299.23  702.77
      1.81   285.76  671.14
      1.89   272.90  640.94
      1.98   260.62  612.09
      2.07   248.89  584.54
      2.17   237.68  558.23
      2.27   226.99  533.11
      2.38   216.77  509.11
      2.49   207.01  486.20
      2.61   197.70  464.32
      2.73   188.80  443.42
      2.86   180.30  423.46
      3.00   172.19  404.40
      3.14   164.44  386.20
      3.29   157.04  368.82
      3.44   149.97  352.22
      3.60   143.22  336.37
      3.77   136.77  321.23
      3.95   130.62  306.77
      4.14   124.74  292.97
      4.33   119.12  279.78
      4.54   113.76  267.19
      4.75   108.64  255.16
      4.98   103.75  243.68
      5.21   99.08  232.71
      5.46   94.62  222.24
      5.71   90.36  212.23
      5.98   86.30  202.68
      6.26   82.41  193.56
      6.56   78.70  184.85
      6.87   75.16  176.53
      7.19   71.78  168.58
      7.53   68.55  161.00
      7.89   65.46  153.75
      8.26   62.52  146.83
      8.65   59.70  140.22
      9.05   57.02  133.91
      9.48   54.45  127.88
      9.93   52.00  122.13
     10.39   49.66  116.63
     10.88   47.42  111.38
     11.40   45.29  106.37
     11.93   43.25  101.58
     12.50   41.30  97.01
     13.09   39.45  92.64
     13.70   37.67  88.47
     14.35   35.97  84.49
     15.03   34.36  80.69
     15.73   32.81  77.06
     16.47   31.33  73.59
     17.25   29.92  70.28
     18.06   28.58  67.11
     18.92   27.29  64.09
     19.81   26.06  61.21
     20.74   24.89  58.45
     21.72   23.77  55.82
     22.74   22.70  53.31
     23.81   21.68  50.91
     24.94   20.70  48.62
     26.11   19.77  46.43
     27.34   18.88  44.34
     28.63   18.03  42.35
     29.98   17.22  40.44
     31.39   16.44  38.62
     32.87   15.70  36.88
     34.42   15.00  35.22
     36.04   14.32  33.64
     37.74   13.68  32.12
     39.52   13.06  30.68
     41.38   12.47  29.30
     43.33   11.91  27.98
     45.38   11.38  26.72
     47.51   10.86  25.52
     49.75   10.38  24.37
     52.10   9.91  23.27
     54.55   9.46  22.22
     57.12   9.04  21.22
     59.82   8.63  20.27
     62.64   8.34  19.58
     65.59   8.41  19.57
     68.68   8.49  19.55
     71.92   8.57  19.54
     75.30   8.65  19.52
     78.85   8.75  19.54
     82.57   8.83  19.52
     86.46   8.91  19.70
     90.54   8.99  19.68
     94.80   9.08  19.65
     99.27   9.16  19.62
    103.95   9.25  19.59
    108.85   9.33  19.55
    113.98   9.42  19.52
    119.35   9.51  19.48
    124.97   9.59  19.44
    130.86   9.71  19.44
    137.03   9.79  19.40
    143.49   9.89  19.35
    150.25   9.98  19.30
    157.33   10.07  19.24
    164.75   10.16  19.19
    172.51   10.26  19.13
    180.64   10.35  19.07
    189.16   10.45  18.76
    198.07   10.54  18.69
    207.41   10.64  18.62
    217.18   10.76  18.59
    227.42   10.86  18.51
    238.13   10.96  18.43
    249.36   11.07  18.09
    261.11   11.17  18.00
    273.41   11.27  17.91
    286.30   11.38  17.81
    299.79   11.48  17.45
    313.92   11.59  17.34
    328.72   11.69  17.23
    344.21   11.80  16.85
    360.43   11.91  16.73
    377.42   12.05  16.37
    395.20   12.16  16.24
    413.83   12.27  15.83
    433.33   12.39  15.69
    453.75   12.50  15.26
    475.14   12.62  15.11
    497.53   12.74  14.66
    520.98   12.85  14.21
    545.53   12.97  13.74
    571.24   13.09  13.26
    598.16   13.21  12.78
    626.36   13.37  12.31
    655.87   13.49  11.80
    686.78   13.61  10.97
    719.15   13.74  10.44
    753.04   13.87  9.58
    788.53   14.00  8.70
    825.70   14.13  7.81
    864.61   13.55  7.49
    905.36   13.03  7.20
    948.03   12.56  6.94
    992.71   12.13  6.71
   1039.49   11.75  6.49
   1088.48   11.35  6.01
   1139.78   10.96  5.81
   1193.50   10.57  5.60
   1249.74   10.14  5.37
   1308.64   9.71  5.14
   1370.32   9.20  4.87
   1434.90   8.71  4.41
   1502.52   8.17  4.14
   1573.33   7.60  3.85
   1647.48   7.05  3.57
   1725.13   6.50  3.14
   1806.43   5.98  2.89
   1891.56   5.50  2.66
   1980.71   5.07  2.45
   2074.06   4.72  2.28
   2171.80   4.42  2.14
   2274.16   4.17  1.92
   2381.34   3.95  1.82
   2493.57   3.77  1.73
   2611.08   3.56  1.72
   2734.14   3.34  1.62
   2863.00   3.10  1.50
   2997.92   2.85  1.38
   3139.21   2.61  1.26
   3287.16   2.38  1.15
   3442.08   2.17  1.05
   3604.30   1.98  0.96
   3774.16   1.81  0.87
   3952.03   1.66  0.80
