# Mean QSO template from Richards et al. (2006)
#  lambda	f_lambda
# angstrom	arbitrary
     29.98	606.99
     31.39	579.67
     32.87	553.58
     34.42	540.98
     36.04	516.63
     37.74	493.38
     39.52	471.17
     41.38	449.97
     43.33	429.71
     45.38	419.93
     47.51	410.37
     49.75	391.90
     52.10	382.98
     54.55	374.27
     57.12	374.27
     59.82	365.75
     62.64	365.75
     65.59	357.42
     68.68	357.42
     71.92	357.42
     75.30	349.28
     78.85	349.28
     82.57	349.28
     86.46	349.28
     90.54	349.28
     94.80	349.28
     99.27	357.42
    103.95	357.42
    108.85	357.42
    113.98	357.42
    119.35	357.42
    124.97	365.75
    130.86	365.75
    137.03	365.75
    143.49	365.75
    150.25	365.75
    157.33	374.27
    164.75	374.27
    172.51	374.27
    180.64	374.27
    189.16	374.27
    198.07	374.27
    207.41	382.98
    217.18	382.98
    227.42	382.98
    238.13	382.98
    249.36	382.98
    261.11	391.90
    273.41	391.90
    286.30	391.90
    299.79	391.90
    313.92	391.90
    328.72	401.03
    344.21	401.03
    360.43	401.03
    377.42	401.03
    395.20	401.03
    413.83	410.37
    433.33	410.37
    453.75	410.37
    475.14	419.93
    497.53	419.93
    520.98	419.93
    545.53	419.93
    571.24	419.93
    598.16	419.93
    626.36	410.37
    655.87	410.37
    686.78	410.37
    719.15	401.03
    753.04	401.03
    788.53	391.90
    825.70	401.03
    864.61	401.03
    905.36	410.37
    948.03	419.93
    992.71	439.72
   1039.49	449.97
   1088.48	460.45
   1139.78	471.17
   1193.50	460.45
   1249.74	460.45
   1308.64	439.72
   1370.32	419.93
   1434.90	401.03
   1502.52	374.27
   1573.33	349.28
   1647.48	325.97
   1725.13	304.21
   1806.43	283.91
   1891.56	264.96
   1980.71	247.27
   2074.06	225.52
   2171.80	210.46
   2274.16	200.99
   2381.34	187.58
   2493.57	179.13
   2611.08	171.07
   2734.14	163.37
   2863.00	152.47
   2997.92	142.29
   3139.21	129.77
   3287.16	118.35
   3442.08	105.48
   3604.30	 96.20
   3774.16	 85.74
   3952.03	 76.42
   4138.29	 69.69
   4333.32	 63.56
   4537.54	 57.97
   4751.39	 52.87
   4975.32	 48.21
   5209.80	 45.00
   5455.33	 41.04
   5712.43	 37.43
   5981.65	 34.93
   6263.55	 32.60
   6558.74	 30.42
   6867.85	 28.39
   7191.52	 25.89
   7530.45	 24.16
   7885.35	 22.55
   8256.97	 20.57
   8646.11	 19.19
   9053.59	 17.91
   9480.27	 16.72
   9927.06	 15.60
  10394.91	 14.23
  10884.81	 13.59
  11397.79	 12.68
  11934.95	 12.11
  12497.43	 11.30
  13086.42	 10.79
  13703.16	 10.55
  14348.97	 10.31
  15025.22	 10.07
  15733.33	 10.07
  16474.82	  9.84
  17251.26	 10.07
  18064.28	 10.07
  18915.63	 10.07
  19807.09	 10.07
  20740.57	 10.07
  21718.04	 10.07
  22741.58	 10.07
  23813.36	  9.84
  24935.65	  9.84
  26110.83	  9.62
  27341.40	  9.40
  28629.96	  9.19
  29979.25	  8.77
  31392.12	  8.57
  32871.59	  8.19
  34420.78	  8.00
  36042.98	  7.64
  37741.63	  7.30
  39520.34	  6.97
  41382.88	  6.81
  43333.19	  6.50
  45375.42	  6.21
  47513.90	  5.93
  49753.16	  5.66
  52097.96	  5.41
  54553.26	  5.17
  57124.28	  4.93
  59816.46	  4.71
  62635.52	  4.50
  65587.44	  4.30
  68678.48	  4.10
  71915.20	  3.92
  75304.46	  3.74
  78853.45	  3.49
  82569.70	  3.34
  86461.09	  3.19
  90535.87	  3.04
  94802.70	  2.84
  99270.61	  2.71
 103949.09	  2.53
 108848.06	  2.42
 113977.91	  2.26
 119349.53	  2.15
 124974.30	  2.01
 130864.15	  1.92
 137031.59	  1.79
 143489.69	  1.71
 150252.15	  1.60
 157333.32	  1.49
 164748.21	  1.42
 172512.55	  1.33
 180642.82	  1.24
 189156.25	  1.16
 198070.91	  1.08
 207405.71	  1.03
 217180.44	  0.96
 227415.84	  0.90
 238133.61	  0.84
 249356.51	  0.76
 261108.32	  0.71
 273413.97	  0.67
 286299.57	  0.62
 299792.46	  0.57
 313921.24	  0.53
 328715.89	  0.48
 344207.80	  0.44
 360429.81	  0.40
 377416.34	  0.37
 395203.43	  0.34
 413828.79	  0.31
 433331.94	  0.28
 453754.25	  0.25
 475139.03	  0.23
 497531.64	  0.21
 520979.58	  0.19
 545532.59	  0.17
 571242.75	  0.15
 598164.59	  0.13
 626355.22	  0.12
 655874.43	  0.10
 686784.84	  0.09
 719152.02	  0.08
 753044.61	  0.07
 788534.51	  0.06
 825696.99	  0.05
 864610.89	  0.04
 905358.75	  0.03
 948026.99	  0.03
